bar,item,price
"Dick's Last Resort","Macaroni and Cheese Burger",13.95
"Vault Night Club","Monkey Chased the Weasel",7.91
"BJ's Restaurant & Brewery","Iron Horse Pale Ale",12.65
"Worldwide Wine Services","Macaroni and Cheese Burger",13.95
"Saturn","Iced Coffees",3.95
"Scooters","Shepherd's Pie",15.95
"Hooters","Orabelle",2.83
"T.G.I. Friday's","Golden Road Hefeweizen",6.64
"J D Bar Corp","Eggplant Parmigiana",11.95
"Tony Roma's","Alaskan Amber",11.7
"Friendly's","Suncaster Summer Wheat",4.1
"Hotshots Sports Bar & Grill","Country Boy IPA",10.7
"Arena","Monkey Chased the Weasel",7.91
"YUMIS SUSHI BAR","Verdun",4.94
"Saturn","Chicken & Biscuits",17.95
"Planet Hollywood","Loki Red Ale",12.56
"Crowe Bar","Chicken Enchiladas",14.95
"Atomic Cantina","Atwater's Lager",1.89
"Boston Pizza","Meat Sauce with Choice of Pasta",5.95
"Mugshots Bar","California Cheesesteak",13.95
"Big Al's","Acqua Panna Spring",2.95
"Cracker Barrel Old Country Store","Chin Music Amber Lager",4.96
"Kesler Sports Bar & Grill","Extra Breadsticks!",3.95
"Union Street Station","Lasagna Fritta",8.95
"Quaker Steak & Lube","White Rascal",8.42
"Eight Seconds","Cold Press",8.55
"Gold Hawk","Peach-Mango Smoothie",4.95
"Rascal's","Wonderstuff",6.55
"Sinners Gentlemen's Club","Iron Horse Pale Ale",12.65
"Bertucci's","Chicken with Lemon Couscous",15.95
"N V Penthouse Lounge","Chicken Pot Stickers",10.95
"Daddy's","Awry Rye Pale Ale",12.88
"Qdoba Mexican Grill","Marooned On Hog Island",4.26
"Old Capitol Brew Works","Crabcakes",13.95
"Iron Post","Frosted Fields Winter Wheat",10.52
"Arlene's","Chicken Fingers, and Pasta",5.95
"Red Lobster","Norm's Gateway IPA",10.42
"Boston Pizza","Kids Rotini with Marinara",5.95
"Border Lounge","Roadside Sliders",9.95
"Sheffield Wine & Spirits Center","Chicken Giardino",11.95
"Black Angus Steakhouse","Awry Rye Pale Ale",12.88
"Islands Fine Burgers & Drinks","Parmesan-Herb Crusted Chicken",17.5
"Red Robin","Blackbeard",5.86
"Boston Market","Naked Pig Pale Ale",8.01
"Jake's Grill","Cajun Chicken 'Littles'",15.5
"C C Slaughters Restaurant","Italian Ice Milkshake",4.95
"Denny's","Deflator",5.08
"Firefly Club","Blood Orange Honey",1.05
"Big Shots Sports Bar & Grill","Thai Lettuce Wraps",13.95
"Arlene's","Barn Yeti",1.04
"Wibs","Commotion APA",12.94
"Karma Lounge Ltd","Quick WIT",3.19
"J R's Bar & Grill Inc","Fresh Kale Salad",6.95
"Arlene's","Crispy Cuban Rolls",6.95
"Old Capitol Brew Works","Fried Mozzarella",5.95
"Charles A. Meyer","Shiva IPA",7.09
"Pizza Shoppe","The Club",13.95
"Grey Lounge","The Everything Pizza",14.5
"Daddy-O's","Five Cheese Ziti al Forno",11.95
"Pizza Shoppe","Lasagna Classico",11.95
"Station","Southern Fried Catfish",17.95
"Station","Seiche Scottish Ale",6.33
"Golden Corral","BrewFarm Select Golden Lager",5.13
"Off Broadway","Fish & Chips",17.5
"Vault Night Club","Stickin' In My Rye",1.77
"Bottle & Cork","Oktoberfest",12.45
"J R's Last Laugh Comedy Club","Big Blue Van",3.07
"Ad Card Promotions","Agent a Deux",6.59
"Jovan's Lounge Ltd","Trigger Blonde Ale",3.65
"Jrbc","Daisy Cutter Pale Ale",11.03
"Olive Garden","Factory Burrito Grande",14.95
"Hard Rock Cafe","Aviator Raspberry Blonde",10.58
"Bob Evans Restaurants","Edamane",4.95
"Lone Star Steakhouse & Saloon","Black Rabbit",2.54
"T.G.I. Friday's","Oberon",1.37
"Niko's Lodge Bar & Grill","Macaroni and Cheese",5.95
"Hurricane Alley","2-Liter Soda",4.95
"County Line Pub","Buffalo Wings",12.5
"Ten","Five Cheese Marinara with Choice of Pasta",5.95
"Cheese Burger in Paradise","Supper Club Lager",4.97
"Paradise City","Chicken Enchiladas",14.95
"Mugshots Bar","Greenbelt Farmhouse Ale",8.17
"Jake's Old City Grill","Factory Nachos",12.5
"Houlihan's","Poop Deck Porter",6.99
"Bottle & Cork","Fried Mozzarella",5.95
"40 Watt Club","Aslan Amber",1.62
"Town & Country","Salamander Slam",4.7
"Eight Seconds","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Linda's","The Club",13.95
"Boston Pizza","Bravo Four Point",10.53
"Arena","Union Jack",4.64
"Smokey Bones","Oktoberfest",12.45
"Boston Market","Fresh Kale Salad",6.95
"Outback Steakhouse","BrewFarm Select Golden Lager",5.13
"Lone Star Athletic Football Club","Iced Coffees",3.95
"Wellhead Restaurant-Brew Pub","Caramel Hazelnut Macchiato",4.95
"Rascal's","Verdun",4.94
"Applebee's","Herb-Grilled Salmon",11.95
"Ruby Tuesday","Pile of Face",1.01
"For Pete's Sake","Spicy Crispy Chicken Sandwich",13.5
"Tradesman Tavern Inc","Grilled Turkey Burger",13.95
"Kesler Sports Bar & Grill","Great Crescent Dark Lager",5.35
"Carrabba's Italian Grill","Chin Music Amber Lager",4.96
"Dillinger's Inc","Paris",3.42
"YUMIS SUSHI BAR","Backyahd IPA",12.48
"Double Olive Lounge","Thai Lettuce Wraps",13.95
"Johnny Rockets","Parmesan-Garlic Cheese Bread",8.95
"Apple Inn","Rye Pils Session Lager",12.39
"Texas Roadhouse","Dirtbag Dunkel",4.45
"Benihana","3 Picket Porter",3.9
"Karma Lounge Ltd","Barney Flats Oatmeal Stout",5.65
"Swamp Sports Bar & Restaurant","Zeppoli",6.95
"Swamp Sports Bar & Restaurant","Island Wheat",9.96
"Stanhope House","Caffè Latte",4.95
"Robert","Factory Burrito Grande",14.95
"Dolphin Inn","Endive Salad",6.95
"Off Broadway","Portabella, Avocado, and Zucchini Fries",6.95
"Jack's Place","Easy Jack",6.97
"Downtown Lounge","Cheese Ravioli",11.95
"Opus Mainstreet","Big Blue Van",3.07
"YUMIS SUSHI BAR","Paris",3.42
"Bubba Gump Shrimp Company","Whitewater",7.37
"Qdoba Mexican Grill","Peanut Butter Jelly Time",6.62
"Arlene's","Ghost Ship White IPA",4.67
"Town & Country","Yeti  Imperial Stout",5.1
"Kroc's","Mixed Berry Sparkling Water",3.95
"Union Street Station","Pepperoni Pizza",13.95
"C C Slaughters Restaurant","Bent Paddle Black Ale",2.43
"Cheddar's Casual Café","Crispy Chicken Costoletta",17.95
"Kainoa's Sports Bar & Restrnt","Portabella, Avocado, and Zucchini Fries",6.95
"Brandy's","Send Help",11.36
"Jake's Grill","Best Brown",1.28
"Red Robin","A Beer",11.02
"Dejavu Nightclub","Fire-Roasted Fresh Artichoke",11.5
"Chili's","Sweet Corn Tamale Cakes",10.95
"Hilltop Tavern","Firecracker Salmon",12.95
"Black Angus Steakhouse","Lemon Cream Cake",6.95
"Houlihan's","Dos Pistolas",8.58
"Apple Inn","Lasagna Fritta",8.95
"Johnny Rockets","Veggie Burger",12.95
"Chris Cocallas","Classic Shrimp Scampi Fritta",9.95
"Champions Sports Bar","The Club",13.95
"Pivots Beach Club","Chicken Carbonara",11.95
"Tony Roma's","The 26th",3.9
"Applebee's","Portabella, Avocado, and Zucchini Fries",6.95
"Hickory Tavern","Mixed Berry Sparkling Water",3.95
"Jrbc","Factory Nachos",12.5
"Worldwide Wine Services","Chicken with Lemon Couscous",15.95
"Sutliff Bar & Grill","Fettuccine Alfredo",11.95
"J R's Bar & Grill Inc","The Club",13.95
"Cracker Barrel Old Country Store","Aviator Raspberry Blonde",10.58
"Smokey Bones","Tex Mex Eggrolls",10.95
"Wibs","Dos Pistolas",8.58
"Jake's Grill","Hopalicious",10.57
"Kainoa's Sports Bar & Restrnt","Great Crescent Brown Ale",12.54
"The Old Spaghetti Factory","Independence Pass Ale",3.36
"Tweed's Pub Restaurant","Stuffed Mushrooms",7.95
"Arlene's","Chicken Samosas",6.95
"California Pizza Kitchen","Bacon-Bacon Cheeseburger",13.95
"Boynton Restaurant & Spirits","Chargrilled Coulotte Steak",19.95
"Baja Fresh","Wood Chipper India Pale Ale",2.29
"Sinners Gentlemen's Club","Chicken Parmigiana",11.95
"D & J Web Solutions","Vietnamese Shrimp Summer Rolls",11.95
"Mulligan's Pub","Macaroni and Cheese",5.95
"Bahama Breeze","Spinach-Artichoke Dip",8.95
"War Room","Jack Pine Savage",6.41
"IHOP","Rye Pils Session Lager",12.39
"N V Penthouse Lounge","Commotion APA",12.94
"Bennigan's","Whitewater",7.37
"Boston Pizza","Factory Nachos",12.5
"Pivots Beach Club","Lavazza Espresso",3.95
"Bennigan's","Passenger",8.22
"Jovan's Lounge Ltd","Bellini Peach-Raspberry Iced Tea",2.95
"For Pete's Sake","Sausage and Ricotta Flatbread",6.95
"Wolfs Tavern","Kids Rotini with Marinara",5.95
"Stonebridge Village Poa","Beasts A'Burnin'",12.33
"YUMIS SUSHI BAR","Missile IPA",12.24
"Crazy Donkey Bar Grill","Kids Rotini with Meat Sauce",5.95
"New West","Chicken Salad Sandwich",12.5
"Johnny Mac's Scoreboard","Black Tie Mousse Cake",6.95
"Fire Bar & Grill","Floyd's Folly",6.76
"Big Shots Sports Bar & Grill","Cheese Ravioli",11.95
"LongHorn Steakhouse","Grand Canyon Sunset Amber Ale",1.22
"Kainoa's Sports Bar & Restrnt","Back in Black",4.92
"Cork Town Tavern","Native Amber",8.75
"Swamp Sports Bar & Restaurant","Verdun",4.94
"World Beer Direct","Chicken Di Pana",16.5
"Carrabba's Italian Grill","Chicken Carbonara",11.95
"Perkins Restaurant and Bakery","Seafood Alfredo",11.95
"Ad Card Promotions","White Chicken Chili",13.95
"Maria C. Estabil","What the Butler Saw",2.75
"Hotshots Sports Bar & Grill","Veggie Burger",12.95
"Dejavu Nightclub","Bellini Peach-Raspberry Iced Tea",2.95
"Dixie Taverne","Five Italian Cheese Fonduta",7.95
"Black Angus Steakhouse","312 Urban Pale Ale",8.89
"Jack's Place","Fried Macaroni and Cheese",11.5
"Rocket","Caffè Latte",4.95
"Denny's","Seasonal Sicilian Cheesecake",6.95
"Gold Hawk","2-Liter Soda",4.95
"Village Inn","Easy Jack",6.97
"On the Border Mexican Grill & Cantina","Stickin' In My Rye",1.77
"Chiquito","Peach-Mango Smoothie",4.95
"For Pete's Sake","Whitewater",7.37
"On the Border Mexican Grill & Cantina","Caffè Latte",4.95
"D & J Web Solutions","Union Jack",4.64
"Park Tavern Lounge & Lanes","Four Peaks Peach Ale",12.62
"Xtc Cabaret","Devils Tramping Ground Tripel",8.36
"J R's Last Laugh Comedy Club","Hibernation Ale",3.91
"Chiquito","Alfredo Sauce with Choice of Pasta",5.95
"Champions Sports Bar","Southern Fried Chicken Sliders",10.95
"Dixie Taverne","Bitter Bitch Imperial IPA",12.4
"Phebe's","Mutiny IPA",2.84
"Hotshots Sports Bar & Grill","Crispy Chicken Costoletta",17.95
"Pivots Beach Club","Crispy Chicken Costoletta",17.95
"New West","Interurban IPA",3.67
"P. F. Chang's China Bistro","Shrimp Scampi",11.95
"Qdoba Mexican Grill","Fisherman's Brew",12.57
"Steak 'n Shake","Cajun Chicken 'Littles'",15.5
"Casino El Camino Bar & Grill","Chicken Fingers, and Pasta",5.95
"Lone Star Athletic Football Club","Avocado Eggrolls",11.5
"Charlie Brown's Steakhouse","Pumpkin Patch Ale",9.25
"Romano's Macaroni Grill","Stuffed Chicken Marsala",11.95
"Toc Bar","Union Jack",4.64
"Jungle Restaurant-Fat Cat's","Sophomoric Saison",2.93
"E Robert Brame","Over Ale",8.25
"Toc Bar","Mutiny IPA",2.84
"Steak 'n Shake","Orange Wheat",10.13
"Benihana","Black Rabbit",2.54
"Jake's Grill","Bravo Four Point",10.53
"Sheffield Wine & Spirits Center","Palate Mallet",6.92
"Toc Bar","Fisherman's Brew",12.57
"On the Border Mexican Grill & Cantina","Goose Island India Pale Ale",1.9
"Hurricane Alley","Pumpkin Beast",3.05
"Olive Garden","KSA",6.89
"Union Street Station","Nut Sack Imperial Brown Ale",7.23
"Bottling CO","Fried Calamari",12.95
"Daddy's","Humidor Series India Pale Ale",5.96
"Kesler Sports Bar & Grill","Parmesan-Garlic Cheese Bread",8.95
"Kainoa's Sports Bar & Restrnt","Native Amber",8.75
"Applebee's","Commotion APA",12.94
"Niko's Lodge Bar & Grill","Salamander Slam",4.7
"Brandy's","El Steinber Dark Lager",2.6
"Caledonia Lounge","Last Stop IPA",7.29
"Hurricane Alley","Italian Ice Milkshake",4.95
"Eight Seconds","Crispy Cuban Rolls",6.95
"Scores","Hardywood Cream Ale",3.32
"Stanhope House","Hot Spinach and Cheese Dip",11.95
"Bottle & Cork","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Basement","Old Soul",6.52
"Outback Steakhouse","Bitter Bitch",8.16
"Caledonia Lounge","Chicken Fingers, and Pasta",5.95
"Village Inn","Shrimp Carbonara",11.95
"Club Paragon","Underdog Atlantic Lager",5.15
"Worldwide Wine Services","Pit Beef Dip",14.5
"Gold Hawk","Stuffed Chicken Marsala",11.95
"Quaker Steak & Lube","Hinchtown Hammer Down",6.52
"Baja Fresh","Thai Glazed Salmon",19.95
"Monopole Restaurant","Eggroll Sampler",11.95
"Jrbc","Thai Lettuce Wraps",13.95
"Ad Card Promotions","Steak Gorgonzola-Alfredo",11.95
"Maria C. Estabil","Grand Canyon American Pilsner",10.85
"J R's Last Laugh Comedy Club","Cheese Ravioli",11.95
"N V Penthouse Lounge","Capital Gold Golden Lager",7.43
"Outback Steakhouse","Stone's Throw IPA",4.1
"Johnny Rockets","Old Fashioned Burger",11.95
"Arlene's","Star Runner",6.56
"Union Street Station","Chicken with Lemon Couscous",15.95
"Robert","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Shanahan's Lafayette","Pinata Protest",4.17
"Johnny Rockets","Iron Horse Pale Ale",12.65
"Kells Restaurant","Passenger",8.22
"Apple Inn","Buffalo Wings",12.5
"Daddy's","Good People American Brown Ale",12.21
"Benihana","Sophomoric Saison",2.93
"Basement","Black Rabbit",2.54
"Old Capitol Brew Works","Capital Gold Golden Lager",7.43
"Wellhead Restaurant-Brew Pub","Desolation IPA",9.84
"Big Boy","Crispy Shrimp Sandwich",14.5
"Chiquito","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Atkins Park Tavern","Underdog Atlantic Lager",5.15
"Señor Frog's","Salamander Slam",4.7
"D & J Web Solutions","Dipping Sauces includes 4 Breadsticks",3.95
"Mulligan's Pub","Caffè Mocha",4.95
"Jonathan's Restaurant","Salmon Piccata",11.95
"Club Paragon","Might As Well IPL",3.66
"Apple Inn","Blueberry Limonata",3.95
"Perkins Restaurant and Bakery","Mothman Black IPA",2.29
"Linda's","Citrafest",11.56
