bar,item,price
"J R's Last Laugh Comedy Club","Strawberry-Banana Smoothie",4.95
"Charles A. Meyer","Dip Duo",1.95
"Jack's Place","Loaded Pasta Chips",6.95
"Dolphin Inn","Stuffed Chicken Marsala",11.95
"LongHorn Steakhouse","Barrio Blanco",3.54
"Linda's","FMB 101",8.66
"Vault Night Club","Lavazza Espresso",3.95
"Johnny Mac's Scoreboard","Dolcini",2.95
"Smitty's Sports Pub","Terrace Hill Double IPA",4.33
"Hard Rock Cafe","Samuel Adams Summer Ale",1.91
"Arena","Brush Creek Blonde",8.01
"Tony Roma's","Crispy Chicken Costoletta",17.95
"Sutliff Bar & Grill","Big Star White IPA",8.94
"World Beer Direct","Toasted Lager",3.28
"Baja Fresh","Chicken Fingers, and Pasta",5.95
"Lone Star Athletic Football Club","Coq de la Marche",8.81
"Vault Night Club","Loaded Backed Potato Tots",5.95
"Champions Sports Bar","Beach Patrol",1.34
"Saturn","Underdog Atlantic Lager",8.28
"Tradesman Tavern Inc","Factory Burrito Grande",14.95
"Champions Sports Bar","Chicken Scampi",11.95
"Comedy Cellar","Contemplation",5.56
"T.G.I. Friday's","Fish & Chips",17.5
"Crystal Corner Bar","Spinach-Artichoke Dip",8.95
"Big Boy","Parmesan-Herb Crusted Chicken",17.5
"Big Al's","Grilled Turkey Burger",13.95
"Cheddar's Casual Café","HopArt",10.63
"Planet Hollywood","Norm's Raggedy Ass IPA",3.38
"Jekyll & Hydes","Shrimp Carbonara",11.95
"Chipotle Mexican Grill","Quick Wit Belgianesque Ale",6.57
"E Robert Brame","Spicy Shrimp Scampi Fritta",9.95
"Rainforest Cafe","Chicken Samosas",6.95
"Border Lounge","Chicken Piccata",17.95
"Jungle Restaurant-Fat Cat's","Chicken Salad Sandwich",12.5
"Denny's","Factory Nachos",12.5
"Pub 13","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Hickory Tavern","Sky High Rye",9.17
"Bob Evans Restaurants","Southern Fried Catfish",17.95
"Texas Roadhouse","Beaver Logger",1.84
"Grey Lounge","Jamaican Black Pepper Shrimp",19.95
"Vault Night Club","Wolfman's Berliner",5.63
"Pivots Beach Club","Akari Shogun American Wheat Ale",2.92
"Bertucci's","Brotherhood Steam",11.43
"Off Broadway","Grilled Chicken Parmigiana",11.95
"Henrietta Hudson","Veggie Burger",12.95
"Quaker Steak & Lube","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Red Lobster","Sundae",1.95
"The Original Pancake House","Hop Stalker Fresh Hop IPA",6.61
"Pei Wei Asian Diner","Iced Coffees",3.95
"Bubba Gump Shrimp Company","Terrace Hill Double IPA",4.33
"Señor Frog's","Lucky Buck",7.95
"Friendly's","Meat Sauce with Choice of Pasta",5.95
"Gay Nineties Theatre Cafe","Italian Ice Milkshake",4.95
"Savannah Wine Shop","Rules are Rules",6.13
"Bluepoint Sage Cafe","Little Sister India Style Session Ale",7.39
"Topper","Stuffed Mushrooms",7.95
"Tryst Lounge","077XX",12.26
"Boynton Restaurant & Spirits","Spicy Shrimp Scampi Fritta",9.95
"Crowe Bar","Firecracker Salmon",12.95
"Jungle Restaurant-Fat Cat's","Stuffed Chicken Marsala",11.95
"Don & Herb's Inc","Summer Honey",8.37
"Hoss's Steak and Sea House","Blood Orange Honey",6.29
"Worldwide Wine Services","Teriyaki Chicken",16.95
"Casino El Camino Bar & Grill","Sex and Candy",8.28
"Denny's","Good People Pale Ale",7.69
"Friendly's","Good People Pale Ale",7.69
"Crazy Donkey Bar Grill","Citra Ass Down",4.48
"Crazy Donkey Bar Grill","Parmesan-Herb Crusted Chicken",17.5
"Houlihan's","Smokehouse BBQ Burger",13.95
"Chiquito","Herbal, and Flavored Hot Teas",2.95
"Wolfs Tavern","Chicken Pot Stickers",10.95
"Hard Rock Cafe","Shark Tracker Light lager",7.58
"Downtown Lounge","Veggie Burger",12.95
"Gold Hawk","Caffè Latte",4.95
"Downtown Lounge","Five Italian Cheese Fonduta",7.95
"Wibs","Horny Toad Cerveza",10.59
"Pizza Shoppe","Pumpkin Beast",3.67
"Tweed's Pub Restaurant","Category 3 IPA",8.38
"Friendly's","Fried Macaroni and Cheese",11.5
"IHOP","Powder Hound Winter Ale",3.41
"New Orleans Original Daiquiris","Dry Dock Amber Ale",11.48
"Improper Bostonian","Saucy Intruder",2.14
"Jekyll & Hydes","Kilt Dropper Scotch Ale",7.45
"Jake's Grill","Caffè Mocha",4.95
"New Orleans Original Daiquiris","Seafood Alfredo",11.95
"Wibs","Mushroom Burger",13.95
"BJ's Restaurant & Brewery","Yo Soy Un Berliner",6.52
"Señor Frog's","Big Star White IPA",8.94
"Vault Night Club","Saddle Bronc Brown Ale",5.33
"Perkins Restaurant and Bakery","Polar Pale Ale",3.1
"Smitty's Sports Pub","Bang-Bang Chicken and Shrimp",19.5
"Islands Fine Burgers & Drinks","Classic Burger",12.95
"Sutliff Bar & Grill","London Balling",8.67
"Jake's Old City Grill","Caffè Latte",4.95
"Jake's Grill","Quesadilla with Chicken",11.95
"Sinners Gentlemen's Club","Caffè Mocha",4.95
"Casino El Camino Bar & Grill","Bellini Peach-Raspberry Iced Tea",2.95
"Pei Wei Asian Diner","Great Crescent Belgian Style Wit",8.17
"Don & Herb's Inc","Caffè Latte",4.95
"Town & Country","Buffalo Wings",12.5
"Twin Peeks","Cut Throat Pale Ale",2.74
"Jekyll & Hydes","Chicken Enchiladas",14.95
"Islands Fine Burgers & Drinks","Burning Bush Smoked IPA",6.14
"J D Bar Corp","Cherny Bock",6.96
"Jungle Restaurant-Fat Cat's","Psychopomp",1.85
"Ground Round","Tart Side of the Moon",10.91
"Wellhead Restaurant-Brew Pub","Stuffed Chicken Tortillas",14.95
"World Beer Direct","Dolores River ESB",12.31
"Atomic Cantina","Tender Loving Empire NWPA",1.29
"Robert","Black Tie Mousse Cake",6.95
"Don & Herb's Inc","Great Crescent Belgian Style Wit",8.17
"Monopole Restaurant","Pepper in the Rye",1.64
"Jake's Old City Grill","Rye Pils Session Lager",9.0
"Gay Nineties Theatre Cafe","Alfredo Sauce with Choice of Pasta",5.95
"Sinners Gentlemen's Club","Southern Drawl Pale Lager",10.02
"YUMIS SUSHI BAR","Lemon-Herb Roasted Chicken",18.5
"Joe's Crab Shack","BBQ Chicken Pizza",13.95
"Caledonia Lounge","Shrimp Carbonara",11.95
"Club Soda","FMB 101",8.66
"Town & Country","Pepper in the Rye",1.64
"Pei Wei Asian Diner","Whitsun",4.4
"Cracker Barrel Old Country Store","Chicken Fingers, and Pasta",5.95
"Jake's Grill","Chicken Piccata",17.95
"T.G.I. Friday's","Psychopomp",1.85
"P. F. Chang's China Bistro","Blood Orange Honey",6.29
"Sportsman","Cone Crusher",8.14
"New West","Little Sister India Style Session Ale",7.39
"J D Bar Corp","Kilt Dropper Scotch Ale",7.45
"Town & Country","Caramel Hazelnut Macchiato",4.95
"Jake's Grill","Great Crescent IPA",3.84
"Star Tavern & Pizzeria","Chicken Pot Stickers",10.95
"Bluepoint Sage Cafe","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Town & Country","Quick WIT",10.43
"Famous Dave's","Miso Salmon",19.95
"Hilltop Tavern","Mountain Livin' Pale Ale",2.85
"Schileens Pub","Loaded Pasta Chips",6.95
"Sinners Gentlemen's Club","Caramel Hazelnut Macchiato",4.95
"Bluepoint Sage Cafe","Create A Sampler Italiano",9.95
"Worldwide Wine Services","Beasts A'Burnin'",7.88
"Chipotle Mexican Grill","Thai Lettuce Wraps",13.95
"Toc Bar","Southwest Chicken Sandwich",13.5
"Hurricane Alley","Pumpkin Beast",3.67
"Worldwide Wine Services","London Balling",8.67
"Jungle Restaurant-Fat Cat's","Live Local Golden Ale",1.72
"Chris Cocallas","Southwest Chicken Sandwich",13.5
"Cheese Burger in Paradise","Peach-Mango Smoothie",4.95
"Apple Inn","Veggie Burger",12.95
"Old Country Buffet","Back in Black",4.67
"Brandy's","Caffè Mocha",4.95
"Applebee's","Pothole Stout",12.58
"Smokey Bones","Four String Vanilla Porter",12.63
"Stanhope House","Loaded Backed Potato Tots",5.95
"J R's Last Laugh Comedy Club","Chugach Session Ale",9.77
"Dick's Last Resort","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Met Lounge","Dip Duo",1.95
"Grey Lounge","Thrasher Session India Pale Ale",9.71
"Don & Herb's Inc","Chicken Parmigiana",11.95
"Romano's Macaroni Grill","Double Brown Stout",11.11
"Crazy Donkey Bar Grill","Four String Vanilla Porter",12.63
"Worldwide Wine Services","Chicken Salad Sandwich",12.5
"Jake's Old City Grill","Caramel Hazelnut Macchiato",4.95
"LongHorn Steakhouse","Vivant Tripel",5.66
"Caledonia Lounge","Newport Storm IPA",11.4
"Dave & Buster's","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Jonathan's Restaurant","Toasted Lager",3.28
"Jrbc","Lasagna Dip",7.95
"Lone Star Steakhouse & Saloon","Hot Coffee",2.95
"Jake's Old City Grill","Sawtooth Ale",2.96
"Xtc Cabaret","Buffalo Blasts",11.95
"E Robert Brame","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Smokey Bones","Fire-Roasted Fresh Artichoke",11.5
"Steak 'n Shake","Shrimp Carbonara",11.95
"J R's Bar & Grill Inc","Thrasher Session India Pale Ale",9.71
"Fire Bar & Grill","Edamane",4.95
"Double Olive Lounge","General George Patton Pilsner",8.63
"Barrister S Euro Tavern;","Chicken Parmesan Sandwich",13.95
"Star Tavern & Pizzeria","Five Cheese Marinara with Choice of Pasta",5.95
"J R's Bar & Grill Inc","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Caledonia Lounge","Yo Soy Un Berliner",6.52
"LongHorn Steakhouse","Sky Blue Golden Ale",9.17
"Atkins Park Tavern","Chicken Samosas",6.95
"Brandy's","Factory Burrito Grande",14.95
"Sizzler","Barney Flats Oatmeal Stout",3.84
"Modoggies Bar & Grill","Polar Pale Ale",3.1
"Phebe's","ToGo Homemade Soups",5.95
"Jrbc","Fettuccine Alfredo",11.95
"Mulligan's Pub","Portabella, Avocado, and Zucchini Fries",6.95
"Hurricane Alley","Wolfman's Berliner",5.63
"Hurricane Alley","Cherny Bock",6.96
"Bottling CO","Shepherd's Pie",15.95
"Wellhead Restaurant-Brew Pub","Iced Coffees",3.95
"On the Border Mexican Grill & Cantina","Thai Lettuce Wraps",13.95
"Casino El Camino Bar & Grill","Cheese Ravioli",11.95
"Charlie Brown's Steakhouse","HopArt",10.63
"Basement","Little House Salad",4.95
"Stanhope House","Tender Loving Empire NWPA",1.29
"Dave & Buster's","Rod Bender Red",9.83
"Modoggies Bar & Grill","Margherita Pizza",12.95
"Jack's Place","Ravioli di Portobello",11.95
"Señor Frog's","Lasagna Classico",11.95
"Chili's","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Ivar's Sports Bar & Grill","Chicken Samosas",6.95
"Hickory Tavern","Horny Toad Cerveza",10.59
"Charles A. Meyer","The Citizen",6.4
"Applebee's","Seafood Alfredo",11.95
"Brandy's","Chicken and Shrimp Carbonara",11.95
"Buffalo Wild Wings","Ravioli di Portobello",11.95
"Gold Hawk","Bellini Peach-Raspberry Iced Tea",2.95
"Arlene's","Oak Cliff Coffee Ale",7.78
"The Old Spaghetti Factory","Heinnieweisse Weissebier",8.9
"Chipotle Mexican Grill","Crispy Cuban Rolls",6.95
"Perkins Restaurant and Bakery","Vanilla Java Porter",9.94
"Wibs","Freeride APA",7.21
"Red Robin","Peach-Mango Smoothie",4.95
"Smitty's Sports Pub","Freeride APA",7.21
"Hooters","Crispy Cuban Rolls",6.95
"Karma Lounge Ltd","Thai Lettuce Wraps",13.95
"Bottle & Cork","Norm's Raggedy Ass IPA",3.38
"Club 101","Portabella, Avocado, and Zucchini Fries",6.95
"Henrietta Hudson","Heinnieweisse Weissebier",8.9
"Rascal's","6 oz Sirloin with Fettuccine Alfredo",11.95
"The Original Pancake House","Fire-Roasted Fresh Artichoke",11.5
"D & J Web Solutions","1492",11.68
"Kells Restaurant","General George Patton Pilsner",8.63
"Kells Restaurant","White Chicken Chili",13.95
"Crystal Corner Bar","Fisherman's Brew",5.52
"Town & Country","Contemplation",5.56
"Bob Evans Restaurants","Chicken Carbonara",11.95
"Fire Bar & Grill","Oak Cliff Coffee Ale",7.78
"Bahama Breeze","Cajun Chicken 'Littles'",15.5
"Ten","Sky High Rye",9.17
"Smokey Bones","Crispy Crab Wontons",11.95
"Atkins Park Tavern","Famous Factory Meatloaf",17.5
"New Orleans Original Daiquiris","Black Tie Mousse Cake",6.95
"Bennigan's","Tomato Sauce with Choice of Pasta",5.95
"N V Penthouse Lounge","Moe Lasses'",10.08
"Rocket","Copperhead Amber",5.15
"Arena","Fried Mozzarella",5.95
"Savannah Wine Shop","OktoberFiesta",8.01
"Bottling CO","2-Liter Soda",4.95
"Ad Card Promotions","Raspberry Lemonade",2.95
"Paradise City","Grilled Pork Chop",19.95
"Ruby Tuesday","Powder Hound Winter Ale",3.41
"Downtown Lounge","Greek Salad",6.95
"Paradise City","Factory Burger",12.95
"Eight Seconds","Lasagna Dip",7.95
"Savannah Wine Shop","Akari Shogun American Wheat Ale",2.92
"Henrietta Hudson","Veggie Melt",12.95
"For Pete's Sake","Dipping Sauces includes 4 Breadsticks",3.95
"IHOP","General George Patton Pilsner",8.63
"California Pizza Kitchen","Crispy Cuban Rolls",6.95
"Eight Seconds","Santa's Secret",1.07
"J D Bar Corp","Sausage and Ricotta Flatbread",6.95
"Kells Restaurant","Wolfman's Berliner",5.63
"Outback Steakhouse","Chicken Scampi",11.95
"Henrietta Hudson","Shrimp Scampi",11.95
"Firefly Club","Bang-Bang Chicken and Shrimp",19.5
"Scooters","Seasonal Sicilian Cheesecake",6.95
"IHOP","Heavy Lifting",12.2
"C C Slaughters Restaurant","Dolores River ESB",12.31
"Red Lobster","Quesadilla",9.95
"Linda's","Category 3 IPA",8.38
"Bertucci's","Big Star White IPA",8.94
"Sutliff Bar & Grill","Edamane",4.95
"Bubba Gump Shrimp Company","White Zombie Ale",10.71
"Crazy Donkey Bar Grill","The Lawn Ranger",3.41
"Milo's Sports Tavern","Macaroni and Cheese Burger",13.95
"Bottling CO","Batch 69 IPA",10.44
"Denny's","Greenbelt Farmhouse Ale",5.52
"Kesler Sports Bar & Grill","Cone Crusher",8.14
"New York Dolls","The Citizen",6.4
"Hard Rock Cafe","Famous Factory Meatloaf",17.5
"Chiquito","Coq de la Marche",8.81
"Atomic Cantina","Heinnieweisse Weissebier",8.9
"Comedy Cellar","312 Urban Pale Ale",12.33
"D & J Web Solutions","Seafood Alfredo",11.95
"Outback Steakhouse","Parmesan-Herb Crusted Chicken",17.5
"Jrbc","Acqua Panna Spring",2.95
"BJ's Restaurant & Brewery","Devils Tramping Ground Tripel",2.96
"Bahama Breeze","Plow Horse Belgian Style Imperial Stout",5.61
"Paradise City","Crusted Chicken Romano",16.95
"Kesler Sports Bar & Grill","Five Cheese Ziti al Forno",11.95
"Bubba Gump Shrimp Company","Perzik Saison",5.61
"Uno Chicago Grill","Samuel Adams Summer Ale",1.91
"Dejavu Nightclub","Portabella, Avocado, and Zucchini Fries",6.95
"Improper Bostonian","Endive Salad",6.95
"Dejavu Nightclub","Salmon Piccata",11.95
"Old Country Buffet","Boy King",1.1
"Moms Toy Box","Burning Bush Smoked IPA",6.14
"Station","San Pellegrino Sparkling",2.95
"Double Down Saloon","Good People Pale Ale",7.69
"Ground Round","Hopportunity Knocks IPA",11.83
"Johnny Mac's Scoreboard","Five Cheese Marinara with Choice of Pasta",5.95
"Old Country Buffet","Dundee Summer Wheat Beer",7.02
"Sinners Gentlemen's Club","Eggplant Parmigiana",11.95
"N V Penthouse Lounge","Southern Drawl Pale Lager",10.02
"Boynton Restaurant & Spirits","Fettuccine Alfredo",11.95
"Tryst Lounge","Dolcini (mini dessert)",2.95
"Qdoba Mexican Grill","Core Oatmeal Stout",7.03
"Milo's Sports Tavern","Naked Pig Pale Ale",5.07
"Moms Toy Box","Sky High Rye",9.17
"Moms Toy Box","Great Crescent IPA",3.84
"Big Shots Sports Bar & Grill","Greenbelt Farmhouse Ale",5.52
"The Original Pancake House","Fettuccine Alfredo",11.95
"Dave & Buster's","312 Urban Wheat Ale",1.36
"Red Lobster","Gutch English Style Mild Ale",12.78
"Crystal Corner Bar","Herb-Grilled Salmon",11.95
"Tryst Lounge","Flesh Gourd'n",11.26
"New Orleans Original Daiquiris","Moose Drool Brown Ale",1.26
"Golden Corral","Kids Grilled Chicken with Gluten-free Rotini",6.95
"The Old Spaghetti Factory","Naked Pig Pale Ale",5.07
"E Robert Brame","Mountain Livin' Pale Ale",2.85
"MJ's","Factory Burger",12.95
"Sinners Gentlemen's Club","Smokehouse BBQ Burger",13.95
"Don & Herb's Inc","Chicken and Shrimp Carbonara",11.95
"Boston Market","Bikini Beer",5.47
"Henrietta Hudson","Chicken Margherita",11.95
"Stanhope House","Sweet Corn Tamale Cakes",10.95
"Olive Garden","Greenbelt Farmhouse Ale",5.52
"Bob Evans Restaurants","Quick WIT",10.43
"Crystal Corner Bar","Tender Loving Empire NWPA",1.29
"Outback Steakhouse","Parmesan-Garlic Cheese Bread",8.95
"Iron Post","The Everything Pizza",14.5
"Bubba Gump Shrimp Company","Old Fashioned Burger",11.95
"Outback Steakhouse","Endive Salad",6.95
"Wibs","Blueberry Limonata",3.95
"Jake's Grill","Margherita Pizza",12.95
"Ad Card Promotions","Sawtooth Ale",2.96
"Pivots Beach Club","Little Sister India Style Session Ale",7.39
"Joe's Crab Shack","Dipping Sauces includes 4 Breadsticks",3.95
"J R's Bar & Grill Inc","Rhode Island Blueberry",6.08
"Uno Chicago Grill","Shepherd's Pie",15.95
"Stingers Sports Pub & Grill","Black Tie Mousse Cake",6.95
"Pivots Beach Club","Barney Flats Oatmeal Stout",2.27
"Café Rouge","Crispy Chicken Costoletta",17.95
"N V Penthouse Lounge","Cuban Sandwich",13.95
"YUMIS SUSHI BAR","Orange Chicken",16.95
"Spot On The Alley","Seiche Scottish Ale",6.83
"Tryst Lounge","The 26th",11.12
"Friendly's","Edamane",4.95
"Denny's","Shrimp Scampi",11.95
"Jekyll & Hydes","The Everything Pizza",14.5
"Niko's Lodge Bar & Grill","Fresh Brewed Iced Tea",2.95
"Double Down Saloon","Gutch English Style Mild Ale",12.78
"Crazy Donkey Bar Grill","Fried Macaroni and Cheese",11.5
"Cheese Burger in Paradise","312 Urban Pale Ale",12.33
"Chipotle Mexican Grill","Spicy Crispy Chicken Sandwich",13.5
"Comedy Cellar","Spinach-Artichoke Dip",8.95
"Border Lounge","Spicy Shrimp Scampi Fritta",9.95
"Lanigan's Irish Pub & Eatery","Kiwi-Melon Limonata",3.95
"New York Dolls","Mixed Berry Sparkling Water",3.95
"Dolphin Inn","Beaver Logger",1.84
"Johnny Rockets","Blood Orange Honey",6.29
"Shanahan's Lafayette","Teriyaki Chicken",16.95
"Wibs","East India Pale Ale",12.32
"Cork Town Tavern","Family-Style Lasagna Bundle",6.95
"Schileens Pub","Stuffed Mushrooms",7.95
"Ivar's Sports Bar & Grill","Suncaster Summer Wheat",6.03
"Jonathan's Restaurant","Grilled Pork Chop",19.95
"Jekyll & Hydes","Back in Black",4.67
"Bottle & Cork","Star Runner",10.29
"Niko's Lodge Bar & Grill","Seafood Alfredo",11.95
"Boston Pizza","Behemoth",12.89
"Smokey Bones","Dry Dock Amber Ale",11.48
"Chili's","Southwest Chicken Sandwich",13.5
"J R's Bar & Grill Inc","Mountain Livin' Pale Ale",2.85
"Bluepoint Sage Cafe","Grilled Turkey Burger",13.95
"Sportsman","Sex and Candy",8.28
"Crazy Donkey Bar Grill","Fried Mozzarella",5.95
"Chiquito","Lasagna Classico",11.95
"Kroc's","Strawberry-Passion Fruit Limonata",3.95
